Zeitraum;kWh;Euro;kgCO2;Status
15.10.2022 01:45 - 02:00;2642,000;0,00;1418,754;Ersatzwert
15.10.2022 02:00 - 02:15;2469,000;0,00;1325,853;Ersatzwert
15.10.2022 02:15 - 02:30;2449,000;0,00;1315,113;Ersatzwert
15.10.2022 02:30 - 02:45;2518,000;0,00;1352,166;Ersatzwert
15.10.2022 02:45 - 03:00;2543,000;0,00;1365,591;Ersatzwert
15.10.2022 03:00 - 03:15;2621,000;0,00;1407,477;Ersatzwert
15.10.2022 03:15 - 03:30;2657,000;0,00;1426,809;Ersatzwert
15.10.2022 03:30 - 03:45;2578,000;0,00;1384,386;Ersatzwert
15.10.2022 03:45 - 04:00;2535,000;0,00;1361,295;Ersatzwert
15.10.2022 04:00 - 04:15;2557,000;0,00;1373,109;Ersatzwert
15.10.2022 04:15 - 04:30;2708,000;0,00;1454,196;Ersatzwert
15.10.2022 04:30 - 04:45;2765,000;0,00;1484,805;Ersatzwert
15.10.2022 04:45 - 05:00;2821,000;0,00;1514,877;Ersatzwert
15.10.2022 05:00 - 05:15;2910,000;0,00;1562,670;Ersatzwert
15.10.2022 05:15 - 05:30;3177,000;0,00;1706,049;Ersatzwert
15.10.2022 05:30 - 05:45;2833,000;0,00;1521,321;Ersatzwert
15.10.2022 05:45 - 06:00;2962,000;0,00;1590,594;Ersatzwert
15.10.2022 06:00 - 06:15;3024,000;0,00;1623,888;Ersatzwert
15.10.2022 06:15 - 06:30;2967,000;0,00;1593,279;Ersatzwert
15.10.2022 06:30 - 06:45;2972,000;0,00;1595,964;Ersatzwert
15.10.2022 06:45 - 07:00;2830,000;0,00;1519,710;Ersatzwert
15.10.2022 07:00 - 07:15;2823,000;0,00;1515,951;Ersatzwert
15.10.2022 07:15 - 07:30;2960,000;0,00;1589,520;Ersatzwert
15.10.2022 07:30 - 07:45;3059,000;0,00;1642,683;Ersatzwert
15.10.2022 07:45 - 08:00;3063,000;0,00;1644,831;Ersatzwert
15.10.2022 08:00 - 08:15;3163,000;0,00;1698,531;Ersatzwert
15.10.2022 08:15 - 08:30;3069,000;0,00;1648,053;Ersatzwert
15.10.2022 08:30 - 08:45;3057,000;0,00;1641,609;Ersatzwert
